puuid,leagueId,queueType,tier,rank,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,division,summonerName,riotName
,08094433-c9b5-44b1-b765-be99d7e1e5a0,RANKED_TFT,IRON,I,15,3,9,False,False,False,False,I,,
,783c1bd1-d769-4b99-b57b-c5d3861affe8,RANKED_TFT,IRON,I,80,2,3,False,False,False,False,I,,
,4916762c-fb5f-4901-98c0-3a3b6632c4b6,RANKED_TFT,IRON,I,55,3,5,False,False,False,False,I,,
,41f73395-c186-40b2-856e-bc59e8c3aa86,RANKED_TFT,BRONZE,I,87,5,9,False,False,False,False,I,,
,60cb36d0-ca83-4d2d-bcc1-ddee61299428,RANKED_TFT,BRONZE,I,63,3,3,False,False,False,False,I,,
,5d32877d-974e-462c-87f7-296a7a150add,RANKED_TFT,BRONZE,I,37,4,4,False,False,False,False,I,,
,214c9b36-e66f-4227-b412-4291d480dfdf,RANKED_TFT,SILVER,I,55,21,17,False,False,False,True,I,,
,71312fd8-4d71-4e2a-be73-338d12d9a1e8,RANKED_TFT,SILVER,I,48,25,28,False,False,False,True,I,,
,5fccc2ad-c257-4faf-8a71-42fde25040f0,RANKED_TFT,SILVER,I,69,9,1,False,False,False,True,I,,
,174e2e40-53f1-4c03-9f45-1f060df70909,RANKED_TFT,GOLD,I,0,178,161,False,False,False,False,I,,
,6d7a72c3-8745-4732-9b56-8b44e04d4112,RANKED_TFT,GOLD,I,45,29,30,False,False,False,False,I,,
,3e4ef8d5-669c-41e8-aa96-aa95e4d0d570,RANKED_TFT,GOLD,I,0,69,71,False,False,False,False,I,,
,5c09a188-c38d-4ba2-b3b2-bf9363ac7997,RANKED_TFT,PLATINUM,I,25,55,42,False,False,False,False,I,,
,d11c0029-442f-47a7-a485-d2889204f634,RANKED_TFT,PLATINUM,I,10,34,28,False,False,False,False,I,,
,84af7630-b83a-42ff-88ab-3cf394dca429,RANKED_TFT,PLATINUM,I,0,100,88,False,False,False,False,I,,
,f7eb19ea-169c-47d8-8d38-8f2116511ce9,RANKED_TFT,EMERALD,I,22,61,46,False,False,False,False,I,,
,b6321f51-28f8-47f2-96d0-7b6271b3f0e9,RANKED_TFT,EMERALD,I,19,111,107,False,False,False,False,I,,
,5d98d929-a166-4355-9897-5bdb76a597ca,RANKED_TFT,EMERALD,I,0,208,195,False,False,False,False,I,,
,e55bbcfc-85f2-4500-a0a2-edf01d712fbb,RANKED_TFT,DIAMOND,I,39,166,150,False,False,False,True,I,,
,020af8d6-70e8-4adb-ba2f-b7a91e716454,RANKED_TFT,DIAMOND,I,49,139,98,False,False,False,False,I,,
,314134c2-7ac9-45f0-810a-5d86fc09b550,RANKED_TFT,DIAMOND,I,0,119,87,False,False,False,False,I,,
,,,MASTER,I,1136,324,287,False,False,True,True,I,,
,,,MASTER,I,920,271,225,False,False,True,False,I,,
,,,MASTER,I,917,265,224,True,False,False,False,I,,
,,,GRANDMASTER,I,1191,219,174,False,False,True,True,I,,
,,,GRANDMASTER,I,1162,261,224,False,False,True,False,I,,
,,,GRANDMASTER,I,1156,252,193,False,False,True,True,I,,
,,,CHALLENGER,I,1804,393,322,True,False,False,True,I,,
,,,CHALLENGER,I,1803,451,311,True,False,False,True,I,,
,,,CHALLENGER,I,1775,288,138,True,False,False,True,I,,
